ds,yhat
2014-01-31,14790.55098383069
2014-02-28,5778.6508331609075
2014-03-31,41875.53924752932
2014-04-30,25662.621286923313
2014-05-31,25711.96432316712
2014-06-30,26711.789135200994
2014-07-31,26438.194265668037
2014-08-31,30856.688534547644
2014-09-30,67620.93155913173
2014-10-31,36077.50434361773
2014-11-30,78301.3868299936
2014-12-31,69991.51876123951
2015-01-31,18738.3368875282
2015-02-28,13880.83182218119
2015-03-31,49598.831336817464
2015-04-30,34575.922685918
2015-05-31,26387.65749462342
2015-06-30,31085.988086595127
2015-07-31,33255.78933378846
2015-08-31,40664.39710397778
2015-09-30,76491.88945338747
2015-10-31,35984.30677069981
2015-11-30,86921.2435485156
2015-12-31,75920.5514785749
2016-01-31,23165.288927454323
2016-02-29,14902.190718727707
2016-03-31,51724.01549807761
2016-04-30,33016.19322727104
2016-05-31,49868.2716391935
2016-06-30,44187.75232514952
2016-07-31,39287.721939300405
2016-08-31,37700.415402323495
2016-09-30,75996.54011305748
2016-10-31,62955.95813150369
2016-11-30,88181.84994727827
2016-12-31,85608.06709794284
2017-01-31,38211.25041341959
2017-02-28,25246.802257277148
2017-03-31,61846.2111071961
2017-04-30,44535.8989802118
2017-05-31,53069.88301919663
2017-06-30,50739.93078613383
2017-07-31,48243.239624286754
2017-08-31,49797.26045098822
2017-09-30,87518.48038449339
2017-10-31,65271.21414094377
2017-11-30,99056.4694709998
2017-12-31,93756.91393915174
2018-01-31,44491.10600848736
2018-02-28,35661.339164522244
2018-03-31,71959.87516606724
2018-04-30,55942.10003179583
2018-05-31,56193.0906546001
2018-06-30,57388.05828992695
