Product Name,Sales
"""While you Were Out"" Message Book, One Form per Page",25.228
"#10 Gummed Flap White Envelopes, 100/Box",41.3
#10 Self-Seal White Envelopes,108.682
"#10 White Business Envelopes,4 1/8 x 9 1/2",488.904
"#10- 4 1/8"" x 9 1/2"" Recycled Envelopes",286.672
"#10- 4 1/8"" x 9 1/2"" Security-Tint Envelopes",146.688
"#10-4 1/8"" x 9 1/2"" Premium Diagonal Seam Envelopes",176.288
#6 3/4 Gummed Flap White Envelopes,71.28
"1.7 Cubic Foot Compact ""Cube"" Office Refrigerators",2706.08
"1/4 Fold Party Design Invitations & White Envelopes, 24 8-1/2"" X 11"" Cards, 25 Env./Pack",49.980000000000004
12 Colored Short Pencils,18.2
12-1/2 Diameter Round Wall Clock,551.448
14-7/8 x 11 Blue Bar Computer Printout Paper,422.752
2300 Heavy-Duty Transfer File Systems by Perma,344.724
"24 Capacity Maxi Data Binder Racks, Pearl",3537.24
24-Hour Round Wall Clock,487.512
3-ring staple pack,42.111999999999995
3.6 Cubic Foot Counter Height Office Refrigerator,2946.2
36X48 HARDFLOOR CHAIRMAT,369.24800000000005
"3D Systems Cube Printer, 2nd Generation, Magenta",14299.89
"3D Systems Cube Printer, 2nd Generation, White",2339.982
3M Hangers With Command Adhesive,108.03999999999999
3M Office Air Cleaner,259.8
3M Organizer Strips,83.16
3M Polarizing Light Filter Sleeves,216.34
"3M Polarizing Task Lamp with Clamp Arm, Light Gray",2191.68
3M Replacement Filter for Office Air Cleaner for 20' x 33' Room,303.36
4009 Highlighters,8.04
4009 Highlighters by Sanford,171.14
50 Colored Long Pencils,138.176
"6"" Cubicle Wall Clock, Black",124.586
9-3/4 Diameter Round Wall Clock,455.07
"ACCOHIDE 3-Ring Binder, Blue, 1""",147.028
ACCOHIDE Binder by Acco,65.25399999999999
APC 7 Outlet Network SurgeArrest Surge Protector,1207.2
ARKON Windshield Dashboard Air Vent Car Mount Holder,216.95999999999998
AT&T 1070 Corded Phone,1070.304
AT&T 1080 Corded phone,1945.258
AT&T 1080 Phone,1589.084
AT&T 17929 Lendline Telephone,1339.104
AT&T 841000 Phone,1614.6
AT&T CL2909,755.9399999999999
