Customer ID,Recency,Frequency,Monetary,Cluster,ChurnRisk
AA-10315,185,11,5563.56,0,High
AA-10375,20,15,1056.39,1,Low
AA-10480,260,12,1790.5120000000002,1,High
AA-10645,56,18,5086.9349999999995,0,Low
AB-10015,416,6,886.156,3,High
AB-10060,55,18,7755.62,2,Low
AB-10105,42,20,14473.570999999998,2,Low
AB-10150,42,12,966.71,1,Low
AB-10165,26,14,1113.838,1,Low
AB-10255,167,14,914.5319999999999,1,Low
AB-10600,51,8,1515.862,1,Low
AC-10420,233,5,925.8,1,High
AC-10450,12,9,5527.846,1,Low
AC-10615,7,18,2537.6859999999997,0,Low
AC-10660,283,6,657.316,1,High
AD-10180,30,12,6106.88,0,Low
AF-10870,42,16,2052.908,0,Low
AF-10885,416,7,861.565,3,High
AG-10270,279,14,2582.898,0,High
AG-10300,119,5,367.548,1,Low
AG-10330,9,9,660.972,1,Low
AG-10390,115,8,200.945,1,Low
AG-10495,79,21,2356.855,0,Low
AG-10525,846,9,1455.038,3,High
AG-10675,98,15,3489.0396000000005,0,Low
AG-10765,78,5,170.584,1,Low
AG-10900,97,21,4510.797,0,Low
AH-10030,13,11,1744.7,1,Low
AH-10075,35,20,3250.337,0,Low
AH-10120,61,16,1735.5140000000001,0,Low
AH-10195,56,8,1587.452,1,Low
AH-10210,7,13,4805.344,0,Low
AH-10465,231,8,2495.3916,1,High
AH-10585,22,5,738.504,1,Low
AH-10690,411,23,7888.294,2,High
AI-10855,14,18,4375.786,0,Low
AJ-10780,76,15,4867.344,0,Low
AJ-10795,167,21,4501.391,0,Low
AJ-10945,86,10,1839.24,1,Low
AJ-10960,75,5,629.2479999999999,1,Low
AM-10360,29,12,814.012,1,Low
AM-10705,163,22,5664.022,0,Low
AO-10810,502,1,161.28,3,High
AP-10720,42,19,1638.554,0,Low
AP-10915,99,31,3323.556,0,Low
AR-10345,112,5,1055.694,1,Low
AR-10405,126,7,2236.128,1,Low
AR-10510,15,7,264.86400000000003,1,Low
AR-10540,7,9,6608.448,0,Low
AR-10570,535,2,88.15,3,High
AR-10825,59,13,4523.336,0,Low
AS-10045,89,10,3050.692,1,Low
AS-10090,29,25,3255.31,0,Low
AS-10135,42,3,58.82,1,Low
AS-10225,23,13,4260.784,0,Low
AS-10240,193,13,584.6080000000001,1,High
AS-10285,20,8,3214.236,1,Low
AS-10630,93,12,833.398,1,Low
AT-10435,22,9,1171.814,1,Low
AT-10735,14,16,3831.864,0,Low
AW-10840,21,8,649.376,1,Low
AW-10930,47,16,2852.968,0,Low
AY-10555,15,10,497.014,1,Low
AZ-10750,161,12,1622.0179999999998,1,Low
BB-10990,106,8,744.3399999999999,1,Low
BB-11545,29,20,6765.728,2,Low
BC-11125,203,18,2933.676,0,High
BD-11320,34,19,5718.521,0,Low
BD-11500,36,10,4411.2429999999995,1,Low
BD-11560,279,4,320.54,1,High
BD-11605,98,20,3288.471,0,Low
BD-11620,70,8,1538.11,1,Low
BD-11635,10,5,582.646,1,Low
BD-11725,94,10,1526.5,1,Low
BD-11770,328,10,658.466,3,High
BE-11335,120,9,4204.676,1,Low
BE-11410,99,5,2261.438,1,Low
BE-11455,255,13,1727.652,1,High
BF-10975,92,13,599.798,1,Low
BF-11005,40,10,1333.88,1,Low
BF-11020,75,21,2888.506,0,Low
BF-11080,26,6,272.95,1,Low
BF-11170,17,27,5907.972,0,Low
BF-11215,66,8,1585.162,1,Low
BF-11275,58,4,791.9899999999999,1,Low
BG-11035,29,12,2798.948,1,Low
BG-11695,37,8,1874.172,1,Low
BG-11740,58,7,1006.356,1,Low
BH-11710,24,24,6255.351,0,Low
BK-11260,78,16,659.1379999999999,0,Low
BM-11140,308,16,11789.63,2,High
BM-11575,101,10,808.162,1,Low
BM-11650,34,29,7294.185,2,Low
BM-11785,219,14,1338.842,1,High
BN-11470,25,6,265.296,1,Low
BN-11515,10,17,1459.344,0,Low
